mstyle,top_issue,issues,n_accounts,top_accounts,beg_inv_w1,effective_w1,w2_beg,w2_rcv,carry_est,avg_demand_wk,man_26w,ai_26w,lt_wks,opt_wos,current_wos,stockout_wk,next_rcpt,moq,pipeline
BB0236,OVERSTOCK,OVERSTOCK,4,"13872-BB0236, 1864-BB0236, 3700-BB0236",9006,9006,8838,0,,99.3,2581,2256,12.4,6.0,90.6,,2026-08-23,5000,9006
BB33530,OVERSTOCK,OVERSTOCK; MISMATCH,3,"1864-BB33530, 18360-BB33530, 16001-BB33530",14382,14382,14382,0,,103.0,2575,1092,13.9,5.0,139.6,,2026-09-02,10000,14382
BB38662,OVERSTOCK,OVERSTOCK,1,20006-BB38662,14982,14982,14982,0,,103.0,2574,5238,16.7,6.0,145.5,,2026-09-22,5000,21183
BB0722,OVERSTOCK,OVERSTOCK,2,"4524-BB0722, 13872-BB0722",15606,15606,15570,0,,187.8,2442,2946,10.3,6.0,83.1,,2026-08-08,5004,26994
BB38660,OVERSTOCK,OVERSTOCK,1,20006-BB38660,3960,3960,8964,5004,,97.6,2441,6096,16.4,6.0,40.6,,2026-09-20,5000,20970
FF4923,OVERSTOCK,OVERSTOCK,8,"20474-FF4923, 12893-FF4923, 20595-FF4923",13959,13959,13923,0,,82.5,2146,2562,16.0,6.0,168.8,,2026-09-17,5000,13959
BB38659,OVERSTOCK,OVERSTOCK,1,20006-BB38659,6252,6252,6252,0,,85.0,2126,5052,16.7,6.0,73.5,,2026-09-22,5000,21264
FF12355COS,OVERSTOCK,OVERSTOCK,2,"1864-FF12355COS, 12002-FF12355COS",2694,2694,2694,0,,77.8,2022,2022,16.0,4.0,65.7,,2026-09-17,5000,8892
FF27263,OVERSTOCK,OVERSTOCK; MISMATCH,2,"1864-FF27263, 6111-FF27263",3358,3358,3358,0,,125.9,2015,552,16.7,6.0,26.7,,2026-09-22,5000,8362
BB38661,OVERSTOCK,OVERSTOCK,1,20006-BB38661,16281,16281,16281,0,,68.0,1700,5364,16.7,6.0,320.4,,2026-09-22,5000,26793
FF18956,OVERSTOCK,OVERSTOCK,3,"1864-FF18956, 12893-FF18956, 23011-FF18956",8044,8044,8044,0,,61.7,1605,1992,13.7,4.0,129.8,,2026-09-01,2000,8044
FF12659MX,OVERSTOCK,OVERSTOCK,1,3837-FF12659MX,17462,17462,17462,0,,400.0,1600,2580,12.3,6.0,43.7,,2026-08-22,6000,17462
FF19592MX,OVERSTOCK,OVERSTOCK,1,3837-FF19592MX,12702,12702,12702,0,,300.0,1500,1860,21.6,6.0,41.3,,2026-10-26,6000,12702
BB15069,OVERSTOCK,OVERSTOCK,1,3700-BB15069,12408,12408,12336,0,,51.8,1346,816,14.3,6.0,238.7,,2026-09-05,5000,12408
FF8832,OVERSTOCK,OVERSTOCK,3,"3102-FF8832, 23011-FF8832, 1864-FF8832",5377,5377,5353,0,,51.6,1342,1562,14.7,4.0,103.1,,2026-09-08,1440,5377
BB26159,OVERSTOCK,OVERSTOCK,1,1864-BB26159,18024,18024,18024,0,,53.0,1325,1440,13.1,0.0,340.1,,2026-08-28,10000,18024
BB30050,OVERSTOCK,OVERSTOCK,2,"22008-BB30050, 13640-BB30050",3480,3480,3480,0,,162.5,1300,1128,12.4,4.0,21.4,,2026-08-23,5000,6684
FF7488CP6,OVERSTOCK,OVERSTOCK,1,1864-FF7488CP6,6600,6600,6600,0,,55.1,1268,1146,9.6,4.0,219.5,,2026-08-03,48,12100
FF23346,OVERSTOCK,OVERSTOCK; MISMATCH,2,"1864-FF23346, 23011-FF23346",11503,11503,11503,0,,46.5,1210,504,12.3,4.0,247.0,,2026-08-22,5004,11503
BB19154,OVERSTOCK,OVERSTOCK,2,"1864-BB19154, 22008-BB19154",12600,12600,12600,0,,44.0,1100,1350,12.4,6.0,286.4,,2026-08-23,5004,12762
FF12379/6,OVERSTOCK,OVERSTOCK; MISMATCH,2,"1864-FF12379/6, 3102-FF12379/6",5112,5112,5106,0,,43.4,1086,888,10.0,6.0,117.7,,2026-08-06,4500,10116
BB11981,OVERSTOCK,OVERSTOCK; MISMATCH,1,1864-BB11981,12142,12142,12142,0,,56.0,1064,132,13.1,0.0,216.8,,2026-08-28,5000,12142
FF18404/4,OVERSTOCK,OVERSTOCK; MISMATCH,3,"1864-FF18404/4, 12002-FF18404/4, 23651-FF18404/4",10520,10520,10520,0,,43.1,992,772,20.1,4.0,243.9,,2026-10-16,4000,10520
FF8431,OVERSTOCK,OVERSTOCK,2,"3102-FF8431, 23011-FF8431",4400,4400,4400,0,,33.8,880,2136,13.7,6.0,129.9,,2026-09-01,2000,4400
FF18909/24KL,OVERSTOCK,OVERSTOCK,1,11169-FF18909/24KL,1752,1752,744,0,,864.0,864,864,15.1,4.0,2.0,,2026-09-11,2400,5256
FF35147,OVERSTOCK,OVERSTOCK,2,"21025-FF35147, 3102-FF35147",1192,1192,6208,5016,,174.0,696,696,12.3,4.0,6.9,,2026-08-22,10000,24232
BB11417FL/12,OVERSTOCK,OVERSTOCK,1,1864-BB11417FL/12,51186,51186,51186,0,,26.8,670,624,21.7,4.0,1909.9,,2026-10-27,5000,51186
BB21178,OVERSTOCK,OVERSTOCK,1,15339-BB21178,46697,46697,46697,0,,25.0,650,624,13.1,0.0,1866.9,,2026-08-28,12480,46697
FF12354COS,OVERSTOCK,OVERSTOCK,2,"1864-FF12354COS, 12002-FF12354COS",5514,5514,5514,0,,41.1,534,534,16.0,4.0,262.8,,2026-09-17,5000,11028
BB35522,OVERSTOCK,OVERSTOCK,1,33011-BB35522,5724,5724,5724,0,,20.0,520,522,8.9,4.0,285.2,,2026-07-29,5004,5724
BB36896,OVERSTOCK,OVERSTOCK,1,1864-BB36896,12282,12282,12282,0,,456.0,456,456,14.9,0.0,26.9,,2026-09-09,5000,12282
FF5807AMZN,OVERSTOCK,OVERSTOCK,1,1864-FF5807AMZN,11850,11850,11850,0,,16.2,405,474,16.0,4.0,731.5,,2026-09-17,5000,11850
FF38327,OVERSTOCK,OVERSTOCK,1,3102-FF38327,9688,9688,9664,0,,15.0,345,192,17.3,4.0,645.9,,2026-09-26,5000,9688
BB36898,OVERSTOCK,OVERSTOCK,1,1864-BB36898,12720,12720,12720,0,,324.0,324,324,14.9,0.0,39.3,,2026-09-09,5000,12720
