key,cust,model,ai_total,man_total,delta_pct,abs_gap,man_shape,ai_shape,status_cust,rule_fires
1864-BB0126,"AMAZON.COM.KYDC,INC",Seasonal Baseline,2226,1960,13.6,266,FLAT,FLAT,A,F15|F16|F35|F37|F48|F59e|F66|VP-Q1|VP-Q4
11145-BB35094,"MARC GLASSMAN",Sparse Intermittent,2784,2520,10.5,264,SPARSE,SPARSE,A,F61|R2|VP-Q3
16651-FF9297/24,"PETBARN PTY LTD",Sparse Intermittent,2352,2088,12.6,264,SPARSE,SPARSE,A,F10|F34|F37|F64|M1|R2|R5
1864-FF33871,"AMAZON.COM.KYDC,INC",Croston's,1272,1536,-17.2,-264,VARIABLE,VARIABLE,A,F18b|F37|F41|F43|F49|F57|F59d|VP-Q3|VP-Q4
20474-FF7266,"THEIS DISTRIBUTING COMPANY INC",Croston's,1824,1560,16.9,264,FLAT,VARIABLE,A,F37|F47|F64|F66|F71
3102-FF5807,"CHEWY.COM",Seasonal Baseline,2064,1800,14.7,264,FLAT,VARIABLE,A,F16|F37|F45|F64|F71|VP-Q1|VP-Q4
3837-FF19592MX,"COMERCIALIZADORA MEXICO AMERIC",Sparse Intermittent,1764,1500,17.6,264,SPARSE,SPARSE,A,F17|F64|R5
1864-FF6989PCS2,"AMAZON.COM.KYDC,INC",Croston's,912,1175,-22.4,-263,FLAT,VARIABLE,A,F10|F18b|F34|F37|F43|F49|F59d|F59h|M1|VP-Q4
14182-FF28459,"NASH FINCH COMPANY",Sparse Intermittent,780,1040,-25.0,-260,FLAT,SPARSE,A: Promo,F10|F17|F34|F37|F64|M1|R2|VP-Q3
14182-FF29833,"NASH FINCH COMPANY",Sparse Intermittent,780,1040,-25.0,-260,FLAT,SPARSE,A: Promo,F10|F17|F34|F37|F64|M1|R2|VP-Q3
14182-FF29834,"NASH FINCH COMPANY",Sparse Intermittent,780,1040,-25.0,-260,FLAT,SPARSE,A: Promo,F10|F17|F34|F37|F64|M1|R2|VP-Q3
3892-BB0082,"CERTCO INC.",Sparse Intermittent,240,500,-52.0,-260,FLAT,SPARSE,A,F37
13872-BB0237,"MATTOON RURAL KING SUPPLY CORP",Croston's,1476,1734,-14.9,-258,SPARSE,FLAT,A,F35|F37|F57|F64|VP-Q3|VP-Q4
23651-FF15588,"WINNERS APPAREL",Sparse Intermittent,1176,1430,-17.8,-254,FLAT,SPARSE,A,F17|F64
1864-BB11483PCS6,"AMAZON.COM.KYDC,INC",Heuristic,1403,1150,22.0,253,FRONT_LOADED,FLAT,A,F37|F59a|F59e|F59o|R9|VP-Q4
16014-BB0234,"PIGGLY WIGGLY OF AL",Sparse Intermittent,2040,2292,-11.0,-252,SPARSE,SPARSE,A,F37|F64
1864-BB21626,"AMAZON.COM.KYDC,INC",Seasonal Baseline,1242,1494,-16.9,-252,FLAT,FLAT,A,F15|F37|F38|F38b|F59a|F59e|VP-Q1|VP-Q4
1864-FF22321,"AMAZON.COM.KYDC,INC",Croston's,1248,1500,-16.8,-252,FLAT,FLAT,FD,F35|F37|F52|F59a|F59d|F59h|F_PO_CUTOFF
1864-FF32824,"AMAZON.COM.KYDC,INC",Seasonal Baseline,4632,4380,5.8,252,FLAT,VARIABLE,A,F15|F16|F37|F38b|F45|F59a|F59i|F6b|VP-Q1|VP-Q4
3466-BB35096,"C & S WHOLESALE",Sparse Intermittent,4752,4500,5.6,252,SPARSE,SPARSE,A,F61|R2
9108-FF22321,"IHERB, LLC",Seasonal Baseline,624,875,-28.7,-251,FLAT,VARIABLE,FD,F16|F37|F43|F47|F52|F64|VP-Q1|VP-Q2|VP-Q4
1587-FF7260,"SUPERVALU",Sparse Intermittent,270,520,-48.1,-250,FLAT,SPARSE,A,F17|F61
23685-FF7260,"WAKEFERN FOOD CORP",Sparse Intermittent,1830,2080,-12.0,-250,FLAT,SPARSE,A,F17|F64|R2
3700-BB35095,"CVS CORPORATION",Sparse Intermittent,270,520,-48.1,-250,FLAT,SPARSE,A,F17|F37|F64
20595-FF8423,"TRACTOR SUPPLY COMPANY",Croston's,252,500,-49.6,-248,FLAT,SPARSE,A,F37|R6|VP-Q3
26175-FF7266,"UNFI- EAST",Sparse Intermittent,252,500,-49.6,-248,FLAT,SPARSE,A,F37|F64|VP-Q3
4651-BB35043,"DO IT BEST CORP",Seasonal Baseline,1212,1460,-17.0,-248,SPARSE,FLAT,A,F35|F37|F64|F6b|VP-Q1|VP-Q4
6111-FF9290/24,"FINNEYS IMPORTERS AND",Sparse Intermittent,792,1040,-23.8,-248,FLAT,SPARSE,A,F17|F64|R2
14224-BB17003,"NDC",Croston's,324,570,-43.2,-246,SPARSE,SPARSE,FD,F37|F41|F47|F52|F64|VP-Q3
1864-FF28429,"AMAZON.COM.KYDC,INC",Croston's,504,750,-32.8,-246,FLAT,FLAT,A,F37|F59h|F71|F_PO_CUTOFF
3102-FF4849,"CHEWY.COM",Seasonal Baseline,834,1080,-22.8,-246,FLAT,FLAT,A,F26|F35|F37|F62|F64|VP-Q1|VP-Q4
3102-FF7263,"CHEWY.COM",Seasonal Baseline,1566,1320,18.6,246,FLAT,FLAT,A,F16|F26|F62|F64|F66|VP-Q1|VP-Q4
16553-FF31198CA,"PETSMART INC",Seasonal Baseline,258,500,-48.4,-242,FLAT,VARIABLE,A,F64|F6b|VP-Q1|VP-Q4
7291-BB35095,"GENERAL TRADING CO. INC",Sparse Intermittent,3258,3500,-6.9,-242,SPARSE,SPARSE,A,F37|F61|VP-Q3
11393-BB35094,"KRASDALE FOODS",Sparse Intermittent,4140,3900,6.2,240,FLAT,SPARSE,A,F37|F64
16553-FF31196CA,"PETSMART INC",Seasonal Baseline,960,720,33.3,240,FLAT,FLAT,A,F37|F43|F62|F64|VP-Q1|VP-Q4
1864-FF37818,"AMAZON.COM.KYDC,INC",Seasonal Baseline,1200,960,25.0,240,SPIKE,FLAT,A,F10|F15|F16|F34|F37|F38b|F43|F49|F59a|F59e|F59h|M1|VP-Q1|VP-Q4
1864-FF8991AMZ3,"AMAZON.COM.KYDC,INC",Heuristic,3000,3240,-7.4,-240,VARIABLE,FLAT,A,F10|F14a|F23b|F59h|F59i|F63|F_PO_CUTOFF|R9
20474-FF34468,"THEIS DISTRIBUTING COMPANY INC",Sparse Intermittent,1560,1800,-13.3,-240,SPARSE,SPARSE,A,F10|F34|F64|F66|M1|VP-Q3
3102-FF12649,"CHEWY.COM",Croston's,480,720,-33.3,-240,FLAT,FLAT,A,F35|F37|F47|F64|VP-Q3|VP-Q4
3102-FF25556,"CHEWY.COM",Croston's,840,600,40.0,240,FLAT,VARIABLE,A,F37|F47|F64|F71|VP-Q4
7291-BB16853,"GENERAL TRADING CO. INC",Sparse Intermittent,2040,1800,13.3,240,SPARSE,SPARSE,A,F61|VP-Q3
7291-BB16854,"GENERAL TRADING CO. INC",Sparse Intermittent,2040,1800,13.3,240,SPARSE,SPARSE,A,F61|VP-Q3
7291-BB35094,"GENERAL TRADING CO. INC",Sparse Intermittent,2280,2520,-9.5,-240,SPARSE,SPARSE,A,F61|VP-Q3
1864-BB0705PCS2,"AMAZON.COM.KYDC,INC",Seasonal Baseline,2544,2305,10.4,239,FLAT,FLAT,A,F10|F14a|F15|F16|F34|F37|F38c|F38f|F41|F47|F59a|F59c|F59d|F59h|F6b|F_PO_CUTOFF|M1|VP-ATS|VP-Q1|VP-Q2
1864-BB36796,"AMAZON.COM.KYDC,INC",Heuristic,390,625,-37.6,-235,FLAT,VARIABLE,A,F37|F59a|F59e|F59h|F_PO_CUTOFF|R9
1770-FF31324,"GRUP CONOCIDO S.A. DE C.V",Sparse Intermittent,3366,3600,-6.5,-234,SPARSE,SPARSE,A,F37|F61|R5|VP-Q3
1864-BB35096PCS6,"AMAZON.COM.KYDC,INC",Seasonal Baseline,296,530,-44.2,-234,FLAT,VARIABLE,A,F15|F37|F38|F38b|F40|F47|VP-Q1|VP-Q4
4524-BB21626,"DD'S DISCOUNTS",Sparse Intermittent,4266,4500,-5.2,-234,SPARSE,SPARSE,A: Off-Price,F64|R2|VP-OP
4524-BB22095,"DD'S DISCOUNTS",Sparse Intermittent,4266,4500,-5.2,-234,SPARSE,SPARSE,A: Off-Price,F64|R2|VP-OP
8055-BB35039,"HEINEN'S HEADQUARTERS",Sparse Intermittent,1074,840,27.9,234,SPARSE,SPARSE,A,F61
1864-FF12846PCS8,"AMAZON.COM.KYDC,INC",Heuristic,2061,1828,12.7,233,FLAT,VARIABLE,A,F23b|F35|F41|F59h|F63|F71|F_PO_CUTOFF
4651-BB0481,"DO IT BEST CORP",Croston's,288,520,-44.6,-232,FLAT,FLAT,FD,F35|F37|F52|F57|F64|F71|VP-Q3
1864-FF22071,"AMAZON.COM.KYDC,INC",Seasonal Baseline,1008,1239,-18.6,-231,FLAT,FLAT,A,F15|F16|F24|F35|F36|F38|F38b|F43|F44|F48|F59e|F59f|F59h|F71|F_PO_CUTOFF|VP-Q1
23011-BB33706,"WAL MART STORES",Croston's,870,640,35.9,230,FLAT,FLAT,A,F37|F39|F64|VP-Q3
18109-BB0761CAN,"RED APPLE STORES INC.",Sparse Intermittent,3108,2880,7.9,228,SPARSE,SPARSE,A,F64|VP-Q3
1864-FF33877EC,"AMAZON.COM.KYDC,INC",Croston's,2412,2640,-8.6,-228,BACK_LOADED,BACK_LOADED,A,F18|F37|F43|F57|F59d|F59i|F59j|F60|F70b|F_PO_CUTOFF|VP-Q3
13825-FF7372,"MILLS FLEET FARM",Sparse Intermittent,294,520,-43.5,-226,FLAT,SPARSE,A,F17|F64|VP-Q3
16128-FF6636,"PET VALU CANADA INC",Croston's,1524,1750,-12.9,-226,FLAT,FLAT,A,F37|F64|VP-Q3|VP-Q4
2973-FF7266,"BOMGAAR'S",Sparse Intermittent,450,676,-33.4,-226,FLAT,SPARSE,A: NEW 5/5,F10|F34|F37|M1|R2
3102-FF12375,"CHEWY.COM",Croston's,276,500,-44.8,-224,FLAT,FLAT,A,F35|F57|F64|F71|VP-Q3
3102-FF31823,"CHEWY.COM",Seasonal Baseline,618,840,-26.4,-222,FLAT,FLAT,A,F26|F35|F37|F62|F64|VP-Q1|VP-Q4
13825-FF7261,"MILLS FLEET FARM",Sparse Intermittent,300,520,-42.3,-220,FLAT,SPARSE,A,F17|F64|VP-Q3
1864-BB30371,"AMAZON.COM.KYDC,INC",Croston's,720,500,44.0,220,FLAT,VARIABLE,A,F10|F34|F37|F59o|F_PO_CUTOFF|M1|R6|VP-Q3
23011-BB0102PCS2,"WAL MART STORES",Seasonal Baseline,1020,1240,-17.7,-220,FLAT,FLAT,A,F24|F43|F62|F64|F66|VP-Q1|VP-Q4
23011-FF8652,"WAL MART STORES",Heuristic,462,682,-32.3,-220,BACK_LOADED,FLAT,A,F23b|F64
1864-BB31473PCS2,"AMAZON.COM.KYDC,INC",Croston's,936,1155,-19.0,-219,FLAT,FLAT,A,F59d
12835-BB22025,"LOWES COMPANIES, INC.",Croston's,432,650,-33.5,-218,FLAT,FLAT,A: NEW 5/24,F37|F64|R6
