key,cust,mstyle,model_base,model_vp2,baseline_mode_base,baseline_mode_vp2,old_wkly,new_wkly,old_26w,new_26w,delta_units,delta_pct
23011-FF8256,WAL MART STORES,FF8256,Inactive,Inactive,,,0.0,0.0,0,0,0,0
23011-FF8298,WAL MART STORES,FF8298,Croston's,Croston's,,,18.0,18.0,468,468,0,0.0
23011-FF8424,WAL MART STORES,FF8424,Croston's,Croston's,,,36.0,36.0,936,936,0,0.0
23011-FF8425,WAL MART STORES,FF8425,Seasonal Baseline,Seasonal Baseline,L13 nz-avg (OOS: fill-rate 8% over 2484 units),L13 nz-avg (OOS: fill-rate 8% over 2412 units),144.0,144.0,3744,3744,0,0.0
23011-FF8431,WAL MART STORES,FF8431,Inactive,Inactive,,,0.0,0.0,0,0,0,0
23011-FF8649,WAL MART STORES,FF8649,Inactive,Inactive,,,0.0,0.0,0,0,0,0
23011-FF8652,WAL MART STORES,FF8652,Croston's,Croston's,,,0.0,0.0,0,0,0,0
23011-FF8653,WAL MART STORES,FF8653,Croston's,Croston's,,,0.0,0.0,0,0,0,0
23011-FF8832,WAL MART STORES,FF8832,Croston's,Croston's,,,9.2,9.2,240,240,0,0.0
23011-FF9290/24,WAL MART STORES,FF9290/24,OTB (zero),OTB (zero),,,0.0,0.0,0,0,0,0
23011-SF8167,WAL MART STORES,SF8167,Inactive,Reactivating,,,0.0,0.0,0,0,0,0
23011-SF8169,WAL MART STORES,SF8169,Croston's,Croston's,,,210.5,210.5,5472,5472,0,0.0
