key,mstyle,cust,desc,pattern,model,manual,ai,gap_pct,l13_nz_avg,l52_peak,bucket
1864-BB11603,BB11603,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB11603EC,BB11603EC,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,98,924,
1864-BB11917,BB11917,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,103,3276,
1864-BB11981,BB11981,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,113,642,
1864-BB11981PCS2,BB11981PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,9,21,
1864-BB11981PCS6,BB11981PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,5,22,
1864-BB11986,BB11986,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,433,1620,
1864-BB12010,BB12010,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,55,936,
1864-BB12018,BB12018,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,91,816,
1864-BB12019,BB12019,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,29,96,
1864-BB12021,BB12021,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,26,264,
1864-BB12021PCS6,BB12021PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,2,
1864-BB12022,BB12022,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,190,744,
1864-BB12022/12,BB12022/12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB12028,BB12028,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,114,144,
1864-BB12028PCS6,BB12028PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,7,
1864-BB12068,BB12068,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,485,7344,
1864-BB12068PCS24,BB12068PCS24,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,2,3,
1864-BB12145,BB12145,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,81,144,
1864-BB12383,BB12383,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,110,432,
1864-BB12479,BB12479,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,337,978,
1864-BB12752,BB12752,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,42,222,
1864-BB12752PCS6,BB12752PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,2,
1864-BB13435,BB13435,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,582,3120,
1864-BB13435/6,BB13435/6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,828,1128,
1864-BB13435PCS3,BB13435PCS3,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,169,689,
1864-BB13435PCS6,BB13435PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,22,134,
1864-BB13435PX3,BB13435PX3,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB13435PX6,BB13435PX6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB13436,BB13436,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,459,2310,
1864-BB13436CLR,BB13436CLR,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,542,1188,
1864-BB13436CLR/12,BB13436CLR/12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB13436PCS3,BB13436PCS3,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,70,236,
1864-BB13436PCS6,BB13436PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1,1,
1864-BB13436PX3,BB13436PX3,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,90,224,
1864-BB13437,BB13437,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,1849,5790,
1864-BB13437CLR/12,BB13437CLR/12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB13437PCS3,BB13437PCS3,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,48,640,
1864-BB13437PCS6,BB13437PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB13437PX3,BB13437PX3,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB13437PX6,BB13437PX6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB13439,BB13439,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,442,1302,
1864-BB13439PCS6,BB13439PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,23,100,
1864-BB13443,BB13443,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,118,1050,
1864-BB13443PCS6,BB13443PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,5,19,
1864-BB13447,BB13447,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB13447CLR,BB13447CLR,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,23,308,
1864-BB13447CLR/12,BB13447CLR/12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,1204,
1864-BB13448,BB13448,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,636,1506,
1864-BB13448CLR/12,BB13448CLR/12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB13448PCS3,BB13448PCS3,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,35,948,
1864-BB13448PCS6,BB13448PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,10,52,
1864-BB13449PCS3,BB13449PCS3,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,0,
1864-BB13451PCS2,BB13451PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,56,65,
1864-BB13452PCS6,BB13452PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,10,64,
1864-BB13453PCS6,BB13453PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,133,219,
1864-BB13454PCS6,BB13454PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,44,70,
1864-BB13455PCS6,BB13455PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,110,197,
1864-BB13457,BB13457,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,4912,19026,
1864-BB13457PCS6,BB13457PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,93,191,
1864-BB13458PCS2,BB13458PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,48,112,
1864-BB13458PCS6,BB13458PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,45,245,
1864-BB13460PCS6,BB13460PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,221,317,
1864-BB13461,BB13461,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,45,138,
1864-BB13461PCS2,BB13461PCS2,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,21,78,
1864-BB13461PCS6,BB13461PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,10,46,
1864-BB13528PCS4,BB13528PCS4,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,0,1,
1864-BB13533,BB13533,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,602,3168,
1864-BB13533PCS12,BB13533PCS12,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,12,44,
1864-BB13534PCS6,BB13534PCS6,AMAZON.COM.KYDC,INC,"",,,0,0,0.0,3,3,
